"SKU","STORE","COST","RETAIL"
8567834,6302,39.89,43.36
7439691,507,14.20,29.00
1460266,4104,15.00,27.00
514692,6202,10.80,6.25
3548135,3002,30.23,19.75
686596,6203,78.40,50.00
2816921,402,20.00,13.50
78794,1009,49.75,27.50
3633047,1704,17.25,22.19
9863252,903,9.26,10.07
6469769,3707,16.90,9.75
3318012,7304,19.68,17.00
4528049,2707,42.07,19.99
214278,1509,15.00,16.71
3312914,8007,11.50,14.00
5342095,203,12.41,13.48
2538775,1304,8.18,14.99
9998736,4607,15.40,35.00
9407635,1002,29.72,32.30
4660515,3103,8.50,24.00
5552499,2007,2.45,1.44
9376782,209,28.48,30.95
3436326,1307,10.00,8.50
4426905,1509,3.50,5.99
4759579,307,18.21,49.00
6376741,2804,6.75,6.96
4590224,909,11.75,34.00
242582,7104,16.50,22.05
2930606,703,7.50,17.50
2271294,1703,14.54,15.81
8949000,2407,8.00,12.00
5059524,309,18.07,19.64
7226269,1302,21.00,12.00
4778360,1807,17.25,27.00
6334285,302,35.67,22.25
7727360,1107,18.21,24.50
627439,5602,26.92,29.26
7263158,209,7.84,8.52
7578662,1602,29.50,69.00
3202716,1709,27.00,45.00
4828932,1207,9.50,12.00
9606905,3307,59.00,31.86
2694651,102,22.98,24.98
482901,707,34.00,18.00
2007973,8709,25.56,27.78
8727666,1302,23.40,40.00
5578927,409,21.05,49.50
148147,3209,15.54,28.50
9647954,1407,16.00,19.31
8347907,704,21.35,37.00
8677094,9103,11.07,14.50
1551418,1904,5.36,5.83
8746916,1203,10.00,7.25
8454149,707,16.76,18.22
1568588,1807,45.47,49.43
2508595,209,35.98,39.11
7891352,603,7.74,5.00
1979139,2303,64.20,69.79
8651339,1502,10.39,11.29
1256041,3504,6.00,4.75
229042,8402,11.20,7.00
6290361,8109,8.00,17.99
7531251,1702,18.00,19.50
8004038,2603,7.88,4.75
1836008,303,3.17,2.50
5288648,3202,17.93,13.75
1596831,1102,68.06,42.00
6777300,809,9.30,10.11
944024,9409,17.79,19.34
271498,2804,17.48,19.00
9048207,402,54.00,79.50
3997186,1904,11.79,17.64
5629438,2203,148.50,197.50
9709599,2109,5.25,13.12
6172516,1104,8.49,9.22
6324232,402,15.25,7.49
1751565,703,18.75,7.99
8077347,504,14.34,19.50
8158772,2207,26.10,32.00
7784580,509,6.54,6.00
6568976,2303,10.50,9.99
4804727,103,10.00,5.00
6867310,4202,29.31,31.86
6014764,204,6.75,7.50
640123,3204,65.00,139.00
3704419,709,29.33,17.25
9208508,5004,16.28,29.99
7148943,2009,21.15,45.00
1540427,6104,8.01,8.71
6242542,1403,14.75,16.03
3164094,5704,15.35,16.69
9684048,1502,37.96,41.26
5609454,6704,34.97,38.01
4433288,9304,4.85,6.25
4458574,504,22.38,24.33
1987928,2207,14.02,9.50
9354861,2609,21.60,14.50
3521585,503,18.14,19.72
1523726,4109,5.25,2.99
9414018,807,34.50,18.03
5398581,203,8.00,9.99
2708477,4807,66.02,71.76
1732050,309,1.78,4.96
8730358,2409,14.00,8.75
4157691,2009,28.00,58.00
8116989,309,23.11,25.11
9218439,5302,20.00,22.00
5253574,2102,32.50,16.25
4879382,402,13.50,17.00
1592610,1203,8.85,4.62
8236445,2102,34.75,34.75
7589205,6209,26.00,14.99
3559616,3204,11.31,18.76
4451600,4004,14.86,16.16
4102694,6002,12.17,13.22
7563919,303,1.95,1.50
2836518,802,31.50,69.00
2628194,1304,29.60,25.84
4369237,1607,34.29,30.49
2073044,907,16.33,9.99
2118049,1002,95.27,103.55
8488836,209,9.03,9.82
8638003,1304,27.61,30.01
6944045,407,16.36,10.00
7836029,902,52.00,27.50
4622566,1003,27.09,19.75
4318665,4702,20.00,26.00
1943127,5503,2.40,3.00
5778544,7007,23.15,25.16
423622,809,29.75,14.87
5106018,504,12.00,30.00
1613940,1602,9.10,20.00
7759233,709,8.90,6.00
1937560,7603,14.30,8.00
7804238,307,15.75,9.68
8277025,609,19.00,11.00
2922103,1207,28.50,78.00
6520892,603,6.90,19.00
4748058,1807,29.00,46.12
8409022,3002,20.00,12.25
5246131,1404,16.00,11.60
4573605,203,9.00,20.00
9027958,2504,10.57,11.49
3594160,409,32.00,17.25
9922960,2203,109.88,67.25
7578744,1009,8.80,14.00
1376843,402,12.00,7.25
2097392,407,10.40,13.00
287669,1607,15.75,21.00
5867616,4403,32.89,35.75
9947777,707,31.16,19.50
7108506,9103,36.00,19.75
698281,4102,13.50,19.00
7930199,4502,45.08,49.00
439385,807,24.00,60.00
6402109,502,17.63,11.87
579967,4307,10.50,29.00
7507984,302,21.15,22.50
7080202,1702,22.00,55.00
4919024,103,10.89,22.50
6652420,703,16.24,7.39
9297519,1304,47.00,99.00
9078061,1104,10.00,10.98
5307368,409,14.34,19.50
9587268,1509,15.54,8.50
93028,802,17.78,20.00
332205,503,14.45,15.70
1891148,8204,7.50,25.00
1896715,2807,20.00,13.75
2808418,203,33.60,21.50
2898428,7707,62.50,31.25
1463366,1707,24.30,23.00
1688391,7407,56.00,112.00
1812272,1007,11.45,12.45
8666980,3309,55.00,49.99
4327923,407,18.00,11.25
5006016,909,20.75,37.35
5258283,409,12.17,13.22
1448152,2707,40.50,22.25
7458430,704,15.33,27.37
5221394,703,16.21,17.61
8899528,1502,7.00,4.75
9248434,907,10.75,12.50
3427699,1403,9.00,3.64
458042,107,23.60,29.50
516730,3307,25.00,17.25
7200941,307,14.00,17.50
2173799,309,39.75,19.88
606740,4202,32.90,35.76
4079099,2109,9.00,9.99
924324,502,27.28,29.65
5029771,2504,5.00,10.00
9084646,8209,39.00,40.00
1903769,2203,48.75,24.37
887904,6403,36.00,39.50
9568567,3902,4.50,7.49
9068414,902,44.75,44.75
1458817,6009,5.00,7.49
6284813,1107,31.50,25.68
2967657,1307,19.14,20.80
6585,1403,19.42,21.11
5069209,503,9.00,11.00
6397091,1307,17.94,11.00
5088459,2102,26.50,59.00
1163032,2603,6.31,6.85
3973999,1707,14.00,9.75
2696689,1909,1.58,0.93
2556107,6009,108.00,59.75
3153713,404,22.08,14.00
6039600,1107,45.08,49.00
7081689,3709,69.50,64.69
554761,409,14.30,11.00
9874548,3009,18.00,49.00
6689654,1207,17.18,18.67
4559064,7202,56.42,61.33
4353289,407,9.31,20.00
1210586,2204,40.00,24.75
5211871,2102,5.52,6.00
4896836,3309,16.04,18.00
5681171,909,28.66,31.16
4688043,1307,6.00,4.40
3849180,2609,13.65,24.38
1037744,4007,33.57,36.49
7296253,1709,28.00,14.50
1883581,2007,48.75,24.37
2467708,504,16.50,21.00
6983094,504,9.20,17.25
9209669,9103,13.50,38.00
416259,2203,35.41,38.49
2987111,902,37.25,39.25
3227226,402,3.84,5.00
4166295,309,23.75,25.82
7473255,1203,17.00,12.00
9436305,509,28.00,14.50
1228898,404,25.50,42.88
8324394,2202,29.00,17.25
1780092,1607,5.40,39.50
1637899,407,16.76,18.22
6287097,3003,12.50,8.50
83116,309,7.85,6.25
6267378,309,5.75,6.46
3236484,1607,5.75,3.24
7936050,2409,27.00,26.46
3569158,7004,22.50,75.00
829624,1609,7.60,19.00
383530,4409,34.75,17.37
218131,1403,9.00,6.39
6419094,1204,35.88,39.00
1301473,503,20.50,18.75
9437916,504,27.40,29.78
9786822,309,4.20,2.50
9317053,1207,40.37,25.58
9127041,709,18.70,14.99
6898121,2303,11.20,14.00
696689,309,3.40,2.00
4218009,2409,15.75,35.00
8902485,2009,5.53,6.01
5047818,1707,12.50,8.50
4788188,409,21.94,23.85
6097758,403,22.00,10.00
4410305,1203,42.50,21.25
8456595,4903,61.78,67.16
2142885,507,14.75,14.75
7622626,202,22.48,15.00
3734761,309,20.95,22.77
5468157,409,10.25,6.50
8681824,7603,15.00,19.00
9706743,6403,35.72,19.50
2399436,4404,49.00,25.00
9730418,6403,35.00,69.99
267031,1909,11.90,5.99
6666122,402,5.50,3.00
5656558,9709,40.45,23.50
318541,703,14.73,16.02
9330471,604,19.90,11.25
9822508,604,14.10,7.99
1247822,807,13.00,7.00
6237606,502,24.40,35.00
6139949,4107,12.80,38.00
6908521,2007,40.28,21.35
2116865,1607,79.23,79.04
8217622,907,12.47,9.61
8502273,1102,14.40,24.00
456309,1202,18.75,11.25
7433287,402,16.75,35.00
8847692,1402,11.00,7.25
3559574,1707,3.50,9.99
6697648,1607,9.50,5.50
6490262,2007,8.00,9.99
6307897,203,14.00,17.50
8548216,2609,35.24,58.96
8130100,2204,16.50,35.00
1208588,5602,30.15,32.77
1166601,3307,36.22,39.37
4887660,3103,8.80,11.00
700319,3603,6.40,7.50
2177837,1502,32.00,39.50
5397336,603,25.00,13.07
3836782,209,14.00,19.75
9466832,4707,34.80,28.87
2730907,502,5.67,12.84
7328860,2402,26.40,44.00
5666224,8302,3.80,2.25
352351,2804,9.07,6.25
1663532,2409,21.33,23.19
9108403,502,10.00,8.50
9366830,3204,48.33,32.00
2320968,1607,55.00,59.79
1116029,503,31.73,17.04
6692958,307,11.30,8.00
3446093,1204,1.49,1.62
3737453,703,26.00,14.75
4776667,1103,13.50,8.89
6456942,407,3.44,2.03
7774159,1509,19.95,11.25
4147535,504,8.80,8.99
1899365,7907,57.60,64.00
1134280,6503,40.60,29.50
9841167,7104,6.80,7.39
8057668,409,19.06,27.00
389852,1702,38.98,42.37
4008829,2804,20.96,22.78
1377413,407,14.50,15.00
3246293,409,48.75,24.37
7406268,3204,20.39,22.16
2529231,902,15.00,32.00
53018,403,9.50,28.00
9530088,802,16.92,9.75
6792430,107,15.25,35.00
9273741,402,29.25,17.37
523725,1203,14.40,5.99
2551968,3609,5.36,5.82
8328636,1203,10.40,13.00
9830502,9909,11.40,28.50
490996,3204,28.77,21.57
3367625,704,17.50,14.99
8800485,5202,15.00,10.51
5769122,2702,18.00,22.00
5797426,309,32.50,32.50
7857460,609,1.01,12.00
3079956,1607,29.44,32.00
2214869,4407,18.60,11.34
8098717,402,47.60,59.50
8430922,7907,3.36,2.00
7068904,2109,23.05,24.50
3177348,407,10.46,15.00
2924488,107,27.17,29.53
8653602,2102,39.75,19.87
9549073,2609,20.80,29.00
329961,1807,11.00,24.00
7801994,1403,17.10,9.75
1700768,9309,21.48,23.35
7677644,2104,22.99,24.99
4220579,4202,167.64,182.22
7133159,9103,20.00,30.00
8629927,3407,18.00,9.75
8289137,3502,43.00,44.00
1479047,1407,10.50,12.49
8280634,3202,11.00,29.00
2427639,3709,26.98,64.00
8567834,7502,39.89,43.36
7439691,604,14.20,29.00
1460266,4404,15.00,27.00
514692,6902,10.80,6.25
3548135,3009,30.23,19.75
686596,6703,78.40,50.00
2816921,404,20.00,14.59
78794,1104,49.75,53.60
3633047,1707,17.25,22.19
9863252,1109,9.26,10.07
6469769,6209,17.70,14.75
3318012,8004,19.68,17.00
4528049,3207,42.07,50.00
214278,1709,15.00,16.71
4981586,107,29.35,22.50
5342095,204,12.41,13.48
2538775,1904,8.18,14.99
9998736,5302,12.25,35.00
9407635,1009,29.72,32.30
4660515,3403,8.50,24.00
5552499,2104,2.45,1.50
9376782,303,28.48,30.95
3436326,1407,10.00,8.50
4426905,1609,3.50,5.02
4759579,402,18.21,49.00
6376741,3304,6.75,6.96
4590224,1009,11.75,34.00
242582,7404,16.50,22.05
2930606,707,7.50,16.05
2271294,2103,14.54,15.81
8949000,2707,8.00,12.00
5059524,402,18.07,19.64
7226269,1402,21.00,12.00
4778360,2207,17.25,27.00
6334285,304,35.67,22.25
7727360,1407,18.21,24.50
627439,9209,26.92,29.26
7263158,709,7.84,8.52
7578662,1607,29.50,34.50
3202716,2102,27.00,45.00
4828932,1407,9.50,12.00
9606905,5103,59.00,31.86
2694651,103,22.98,24.98
482901,1009,34.00,18.00
9512939,204,26.50,29.50
8727666,1402,23.40,40.00
5578927,502,21.05,49.50
148147,3309,15.54,28.50
9647954,1904,16.00,19.50
8347907,802,21.35,37.00
8677094,9503,11.07,14.50
1551418,2009,5.36,5.83
8746916,1403,10.00,7.25
8454149,1007,16.76,18.22
1568588,1904,45.47,49.43
2508595,302,35.98,39.11
7891352,703,7.74,5.00
1979139,2409,64.20,69.79
8651339,2402,10.39,11.29
1256041,3604,6.00,4.75
229042,9103,11.20,7.00
6290361,9209,8.00,17.99
7531251,2307,18.00,18.80
8004038,3003,7.88,4.75
1836008,304,3.17,2.47
5288648,3302,17.93,13.75
1596831,1104,68.06,42.00
6777300,909,9.30,10.11
944024,9909,17.79,19.34
271498,3003,17.48,19.00
9048207,409,79.50,89.50
3997186,2203,11.79,19.00
5629438,7507,148.50,197.50
9709599,2304,7.00,17.50
6172516,1909,8.49,9.22
6324232,403,15.25,10.48
1751565,704,18.75,7.99
8077347,507,14.34,26.13
8158772,2303,26.10,32.00
7784580,709,6.54,6.00
6568976,2502,10.50,13.40
2049899,309,29.44,32.00
6867310,4302,29.31,31.86
6014764,209,6.75,8.13
640123,3304,65.00,139.00
3704419,802,29.33,17.25
9208508,5503,16.28,29.99
7148943,2809,21.15,45.00
1540427,6403,8.01,8.71
6242542,1602,14.75,16.03
3164094,5804,15.35,16.69
9684048,1602,37.96,41.26
5609454,8204,34.97,38.01
9698465,209,28.90,68.00
4458574,507,22.38,24.33
1987928,2707,14.02,9.50
9354861,2707,21.60,14.50
3521585,504,18.14,19.72
1523726,4404,5.25,2.99
9414018,809,34.50,18.75
5398581,503,8.00,9.99
2708477,4907,66.02,71.76
1732050,402,1.78,5.00
8730358,2707,14.00,8.75
4157691,2109,28.00,58.00
8116989,402,23.11,25.11
9218439,5602,20.00,22.00
5253574,2203,32.50,16.25
4879382,407,13.50,16.00
1592610,1403,8.85,4.62
8236445,2402,34.75,34.75
3081262,402,18.80,29.99
3559616,7104,11.31,18.76
4451600,5704,14.86,16.16
4102694,7102,12.17,13.22
7563919,304,1.95,1.50
2836518,902,31.50,69.00
2628194,1509,29.60,57.00
4369237,2702,34.58,39.99
2073044,1007,16.33,9.99
2118049,1104,95.27,103.55
8488836,302,9.03,9.82
8638003,1404,27.61,30.01
6944045,409,16.36,10.00
7836029,1204,52.00,27.50
4622566,1004,27.09,19.75
4318665,4802,20.00,26.00
1943127,7107,2.40,3.00
5778544,7407,23.15,25.16
423622,1502,29.75,14.87
5106018,603,12.00,24.99
1613940,1709,9.10,20.00
7759233,809,8.90,6.00
1937560,7703,14.30,8.00
7804238,309,15.75,9.68
8277025,704,19.00,10.72
2922103,1403,28.50,78.00
6520892,609,6.90,24.00
4748058,1909,29.00,46.12
8409022,3009,20.00,14.00
5246131,1704,16.00,11.60
4573605,204,9.00,20.00
9027958,3103,10.57,11.49
3594160,502,32.00,17.74
9922960,2609,109.88,67.25
7578744,1102,8.80,14.00
1376843,502,12.00,7.25
2097392,409,10.40,6.50
287669,1709,15.75,21.00
5867616,4603,32.89,35.75
9947777,802,31.16,39.00
259365,1207,24.50,49.00
698281,4202,12.01,19.00
7930199,4802,45.08,49.00
439385,907,24.00,60.00
6402109,504,17.63,11.87
579967,4309,10.50,29.00
7507984,309,21.15,22.50
7080202,2102,22.00,55.00
4919024,107,10.89,22.50
6652420,809,16.24,7.39
9297519,1403,47.00,100.00
9078061,1904,10.00,10.98
5307368,509,14.34,19.50
9587268,1707,12.80,8.50
93028,809,17.78,20.00
332205,603,14.45,15.70
1891148,8404,7.50,25.00
1896715,3107,20.00,13.75
2808418,204,33.60,29.24
2898428,8002,62.50,31.25
1463366,2007,24.30,23.00
1688391,8702,56.00,112.00
1812272,1104,11.45,12.45
8666980,4003,55.00,49.99
4327923,409,18.00,11.25
5006016,1003,20.75,37.35
5258283,503,12.17,13.22
1448152,3007,40.50,22.25
7458430,807,15.33,27.37
5221394,704,16.21,17.61
8899528,1602,7.00,4.75
9248434,1004,12.75,14.99
3427699,1703,9.00,2.99
458042,203,23.60,24.64
516730,3807,25.00,17.25
7200941,309,14.00,8.75
2173799,402,39.75,19.88
606740,6004,32.90,35.76
4079099,2402,9.00,6.50
924324,503,27.28,29.65
5029771,2603,5.00,10.00
9084646,8309,39.00,40.00
1903769,2409,48.75,24.37
887904,7103,36.00,39.50
9568567,4102,4.50,7.49
9068414,909,44.75,44.75
1458817,6109,5.00,7.49
6284813,1207,31.50,25.68
2967657,1407,19.14,20.80
6585,1407,19.42,21.11
5069209,507,9.00,11.00
6397091,1407,17.94,11.00
5088459,2402,26.50,59.00
1163032,3103,6.31,6.85
3973999,1709,14.00,9.75
2696689,2604,1.65,1.50
2556107,6109,108.00,70.75
3153713,407,22.08,14.00
6039600,1202,45.08,49.00
7081689,5604,69.50,39.75
554761,502,14.37,10.56
9874548,3109,18.00,49.00
6689654,1307,17.18,18.67
4559064,7602,56.42,61.33
4353289,409,9.31,20.00
1210586,2402,40.00,24.75
6926486,9103,29.89,32.48
4896836,3509,16.04,18.00
5681171,1104,28.66,31.16
4688043,1403,6.00,4.40
3849180,2707,13.65,16.25
1037744,4109,33.57,36.49
7296253,2307,28.00,14.50
1883581,2607,48.75,24.37
2467708,507,16.50,21.00
6983094,703,9.20,17.25
3694446,107,11.00,21.75
416259,2304,35.41,38.49
2987111,1009,37.25,19.62
3227226,403,3.84,5.00
4166295,407,23.75,25.82
7473255,1403,17.00,12.00
9436305,609,28.00,14.50
1228898,407,24.96,33.09
8324394,2402,29.00,17.25
1780092,1904,5.40,39.50
1637899,409,16.76,18.22
6287097,3103,12.50,8.50
83116,402,7.85,6.25
6267378,402,5.75,6.46
3236484,1807,5.75,3.24
7936050,2509,27.00,26.46
3569158,7303,22.50,75.00
829624,1709,7.60,19.00
383530,6009,34.75,17.37
218131,1703,9.00,6.25
6419094,3603,35.88,39.00
1301473,507,20.50,18.75
9437916,507,27.40,29.78
9786822,402,4.20,2.50
9317053,1407,40.37,25.58
9127041,802,18.70,19.99
6898121,2307,11.20,14.00
696689,402,3.40,2.00
4218009,2609,15.75,35.00
8902485,2109,5.53,6.01
5047818,1807,12.50,8.50
4788188,502,21.94,23.85
6097758,503,22.00,10.00
4410305,1402,42.50,21.25
8456595,5503,61.78,67.16
2142885,704,14.75,14.75
7622626,203,22.48,15.00
3734761,402,20.95,22.77
5468157,502,10.25,6.00
8681824,8703,15.00,19.00
9706743,7103,35.72,19.50
2399436,4504,49.00,25.00
9730418,6604,35.00,79.00
267031,2009,11.90,6.74
6666122,403,5.50,3.07
9337241,102,6.90,26.25
318541,707,14.73,16.02
9330471,609,19.90,11.25
9822508,609,14.10,7.99
1247822,902,13.00,14.00
6237606,504,24.40,35.00
6139949,4303,12.80,38.00
6908521,2102,40.28,22.50
2116865,1904,80.00,119.00
8217622,1003,12.47,9.61
8502273,1302,14.40,24.00
456309,1203,18.75,22.50
7433287,404,16.75,35.00
8847692,1502,11.00,7.25
3559574,1807,3.50,9.99
6697648,1807,9.50,5.50
6490262,2207,8.00,9.99
6307897,204,14.00,17.50
8548216,3204,35.24,58.96
8130100,2504,16.50,35.00
1208588,8402,30.15,32.77
1166601,3502,36.22,39.37
4887660,8403,8.80,11.00
700319,3704,6.40,7.50
2177837,1509,32.00,39.50
5397336,1703,25.00,14.75
3836782,304,14.00,19.75
9466832,6109,34.80,29.50
2730907,504,5.67,12.84
7328860,3003,26.40,22.00
2388037,102,82.80,95.00
352351,3204,9.07,6.25
1663532,3003,21.33,23.19
9108403,802,10.00,8.50
9366830,3409,37.80,32.00
2320968,2007,55.00,59.79
1116029,504,31.73,17.04
6692958,309,11.30,8.00
3446093,5502,1.49,1.62
3737453,704,26.00,29.99
4776667,1203,13.50,8.89
6456942,409,3.44,2.00
7774159,1607,20.48,11.25
4147535,507,8.80,5.50
4066110,5704,20.70,10.83
1134280,6803,40.60,29.50
9841167,8902,6.80,7.39
8057668,502,19.06,13.50
389852,1707,38.98,42.37
4008829,3002,20.96,22.78
1377413,502,14.50,7.50
3246293,504,48.75,24.37
7406268,3304,20.39,22.16
2529231,1102,15.00,24.00
53018,409,9.50,21.38
9530088,902,16.92,39.00
6792430,209,15.25,35.00
9273741,407,29.25,34.75
523725,1703,14.40,5.99
2551968,4102,5.36,5.82
8328636,1403,10.40,13.00
7360325,102,7.20,16.00
490996,3304,34.00,39.99
3367625,709,17.50,22.50
8800485,5402,15.00,11.25
5769122,3102,18.00,22.00
5797426,402,32.50,32.50
7857460,807,8.25,6.25
1636778,6703,29.52,32.08
2214869,4409,18.60,11.34
8098717,404,47.60,29.75
8430922,8007,3.36,2.00
7068904,2209,23.05,24.50
3177348,409,10.46,15.00
2924488,209,27.17,29.53
8653602,2707,39.75,19.87
9549073,3002,24.18,29.00
329961,2007,11.00,24.00
7801994,1509,17.10,9.75
4900548,709,5.00,19.00
7677644,2204,22.99,24.99
4220579,6202,167.64,182.22
7133159,9304,20.00,30.00
8629927,3507,18.00,9.75
8289137,4102,43.00,44.00
1479047,1607,10.50,12.49
8280634,3702,11.00,29.00
2427639,3909,26.98,64.00
8567834,8002,39.89,43.36
7439691,609,14.20,29.00
1460266,4504,15.00,27.00
514692,7302,10.80,6.25
3548135,3209,30.23,19.75
686596,7103,78.40,50.00
2816921,407,20.00,14.59
78794,1202,44.78,25.00
3633047,1804,17.25,22.19
9863252,1203,9.26,10.07
6469769,7007,16.90,9.75
3318012,8504,19.68,17.00
4528049,3307,42.07,19.99
214278,2104,15.00,16.71
4981586,302,29.35,22.50
5342095,209,12.41,13.48
2538775,2004,8.18,10.00
9998736,7407,15.40,35.00
9407635,1403,29.72,32.30
4660515,3503,8.50,24.00
5552499,2109,2.45,1.44
9376782,309,28.48,30.95
3436326,1607,10.00,8.50
4426905,1709,3.50,5.99
4759579,407,18.21,49.00
6376741,3307,6.75,6.96
4590224,1107,11.75,36.00
242582,7904,16.50,22.05
2930606,1002,7.50,17.50
2271294,2204,14.54,15.81
8949000,3107,8.00,12.00
5059524,404,18.07,19.64
7226269,1502,21.00,12.00
4778360,2307,17.25,27.00
6334285,307,35.67,22.25
7727360,1607,18.21,24.50
627439,9309,26.92,29.26
7263158,809,7.84,8.52
7578662,1904,29.50,34.50
3202716,3002,27.00,42.00
4828932,1607,9.50,12.00
9606905,6803,59.00,31.86
2694651,303,22.98,24.98
482901,1104,34.00,18.00
9512939,304,26.50,28.03
8727666,1502,23.40,20.00
5578927,504,21.05,49.50
148147,3409,15.54,28.50
9647954,2204,16.00,19.50
8347907,809,21.35,37.00
2419054,103,38.00,41.00
1551418,2103,5.36,5.83
8746916,1703,10.00,7.25
8454149,1104,16.76,18.22
1568588,2007,45.47,49.43
2508595,304,35.98,39.11
7891352,704,7.74,5.00
1979139,2509,64.20,69.79
8651339,2502,10.39,11.29
1256041,3704,6.00,4.75
468219,4702,15.00,20.00
7674851,102,7.50,30.00
7531251,2502,18.00,19.50
8004038,3103,7.88,4.75
1836008,307,3.17,2.47
5288648,3502,17.93,27.50
1596831,1202,68.06,42.00
6777300,1004,9.30,10.11
9397113,1207,117.00,62.25
271498,3004,17.48,19.00
9048207,502,54.00,79.50
3997186,2303,11.79,19.00
5629438,7904,148.50,134.30
9709599,2607,5.78,8.25
6172516,2009,8.49,9.22
6324232,404,15.25,14.99
1751565,709,18.75,7.99
8077347,509,14.34,19.50
8158772,2607,26.10,32.00
7784580,809,6.54,6.00
6568976,2503,10.50,9.99
2049899,509,29.44,32.00
6867310,4502,29.31,31.86
6014764,302,6.75,3.75
640123,5704,65.00,139.00
3704419,809,29.33,17.25
9208508,5804,16.28,29.99
7148943,3009,21.15,45.00
1540427,6404,8.01,8.71
6242542,2202,14.75,16.03
3164094,5904,15.35,16.69
9684048,1607,37.96,41.26
5609454,8404,34.97,38.01
9698465,407,28.90,34.00
4458574,604,22.38,24.33
1987928,2907,14.02,9.50
9354861,2907,21.60,14.50
3521585,507,18.14,19.72
1523726,5004,5.25,2.99
9414018,907,34.50,18.03
5398581,603,8.00,9.99
2708477,7507,66.02,71.76
1732050,403,1.78,5.00
8730358,3807,14.00,8.75
4157691,2203,28.00,58.00
8116989,409,23.11,25.11
9218439,6002,20.00,11.00
5253574,2707,32.50,16.25
4879382,409,13.50,34.00
1592610,1509,8.85,4.62
8236445,2502,34.75,34.75
3081262,409,18.80,27.72
3559616,7904,11.31,18.76
4451600,6404,14.86,16.16
7440038,8109,90.00,199.00
7563919,404,1.95,1.50
2836518,1004,31.50,69.00
2628194,1904,29.60,25.84
4369237,2707,33.97,20.00
2073044,1107,16.33,9.99
2118049,1403,95.27,103.55
8488836,304,9.03,9.82
8638003,1904,27.61,30.01
6944045,502,16.36,10.00
7836029,1207,52.00,27.50
4622566,1007,27.09,19.75
4318665,6002,20.00,26.00
1943127,7703,2.40,3.00
1270601,9806,9.00,18.00
423622,1509,29.75,14.87
5106018,604,12.00,30.00
1613940,2007,9.10,20.00
7759233,1004,8.90,13.39
837252,209,9.00,6.00
7804238,402,15.75,9.68
8277025,709,19.00,11.00
2922103,1509,28.50,78.00
6520892,703,6.90,19.00
4748058,2009,29.00,18.50
8409022,3502,20.00,12.25
5246131,1904,16.00,11.60
4573605,209,9.00,20.00
9027958,4303,10.57,11.49
3594160,507,32.00,17.74
9922960,3902,109.88,67.25
7578744,1402,8.80,14.00
1376843,802,12.00,7.25
2097392,502,10.40,9.41
287669,1807,15.75,21.00
5867616,4703,32.89,35.75
9947777,807,31.16,19.50
259365,2007,24.50,49.00
698281,4302,13.50,19.00
7930199,4902,45.08,49.00
439385,1003,24.00,60.00
6402109,507,17.63,11.87
579967,5503,10.50,29.00
7507984,402,21.15,22.50
7080202,2502,22.00,55.00
4919024,204,10.89,22.50
6652420,903,16.24,7.39
9297519,1709,47.00,99.00
9078061,2104,10.00,7.25
5307368,603,14.34,9.75
9587268,1709,15.54,8.50
93028,909,17.78,20.00
332205,604,14.45,15.70
2234487,102,31.60,19.75
1896715,3207,20.00,13.75
2808418,209,28.01,64.50
2898428,8007,62.50,31.25
1463366,2203,24.30,23.00
1688391,9806,56.00,112.00
1812272,1204,11.45,12.45
8666980,4103,55.00,49.99
4327923,502,18.00,11.25
5006016,1009,20.75,37.35
5258283,504,12.17,13.22
1448152,3103,40.50,66.75
7458430,902,15.33,18.25
5221394,802,16.21,17.61
8899528,2102,7.00,4.75
9248434,1007,10.75,12.50
3427699,2103,9.00,3.64
458042,302,23.60,29.50
516730,4303,31.50,17.25
7200941,402,14.00,14.63
2173799,403,39.75,19.87
606740,6102,32.90,35.76
4079099,2409,9.00,9.99
924324,504,27.28,29.65
5029771,2704,5.00,10.00
9084646,8409,39.00,40.00
1903769,2509,48.75,24.37
887904,7303,36.00,39.50
9568567,4202,4.50,7.49
9068414,1007,44.75,44.75
1458817,6209,5.00,7.49
6284813,1402,31.50,25.68
2967657,1607,19.14,20.80
6585,1609,19.42,21.11
5069209,509,9.00,11.00
6397091,1607,17.94,11.39
5088459,2502,26.50,59.00
1163032,3403,6.31,6.85
3973999,1807,14.00,9.75
2696689,2809,1.50,0.74
2556107,7004,108.00,59.75
3153713,409,22.08,14.00
6039600,1207,45.08,49.00
7081689,7002,69.50,64.69
554761,504,14.37,10.56
9874548,3209,18.00,49.00
6689654,1407,17.18,18.67
4559064,8302,56.42,61.33
4353289,502,9.31,20.00
1210586,2704,40.00,24.75
6926486,9303,29.89,32.48
4896836,3609,16.04,18.00
5681171,1502,28.66,31.16
4688043,1407,6.00,4.40
3849180,2809,13.65,24.38
1037744,4307,33.57,36.49
7296253,3207,28.00,14.50
1883581,2907,48.75,24.37
2467708,603,16.50,21.00
6983094,709,9.20,17.25
3694446,202,11.00,21.75
416259,2307,35.41,38.49
2987111,1509,37.25,19.62
3227226,404,3.84,5.00
4166295,409,23.75,25.82
7473255,2203,17.00,12.00
9436305,703,27.76,14.17
1228898,409,25.50,29.99
8324394,2502,29.00,17.25
1780092,2204,5.40,39.50
1637899,502,16.76,18.22
6287097,3303,12.50,8.50
83116,403,7.85,6.25
6267378,403,5.75,6.46
