"SKU","STORE","COST","RETAIL"
6611493,4407,6.67,7.25
3786374,209,24.99,16.75
5674504,7204,22.50,19.99
5300312,404,35.00,18.50
8727666,102,23.40,40.00
5578927,102,21.05,49.50
148147,209,15.54,28.50
9647954,204,16.00,19.50
8347907,103,21.35,37.00
7008422,3002,47.60,59.50
1551418,304,5.36,5.83
8746916,103,10.00,7.25
8454149,102,16.76,18.22
1568588,103,45.47,49.43
3679194,1607,23.80,29.75
7891352,103,7.74,5.00
1979139,403,64.20,69.79
1976651,103,47.50,48.75
1256041,304,6.00,4.75
229042,102,11.20,14.00
4776423,7303,12.00,25.00
7531251,302,18.00,19.50
8004038,203,7.88,4.75
6239789,5404,8.19,18.00
5288648,102,17.93,19.99
1596831,102,68.06,42.00
6777300,204,9.30,10.11
944024,309,17.79,19.34
271498,204,17.48,19.00
859581,1607,40.00,89.00
3997186,103,11.79,19.00
9087645,4003,16.34,17.76
499541,4102,18.40,22.00
7070067,504,17.50,39.00
6324232,102,15.25,7.49
1751565,103,18.75,7.99
3631110,2707,46.55,27.00
8158772,107,26.10,32.00
7370950,2009,22.50,46.00
6568976,102,10.50,13.40
7843737,209,37.46,40.71
6867310,102,29.31,31.86
1487102,209,52.00,96.00
3479394,1607,10.75,12.50
3704419,102,29.33,17.25
9208508,409,16.28,29.48
8569853,102,19.00,32.83
1540427,204,8.01,8.71
5699464,707,36.00,19.75
3164094,504,15.35,16.69
9684048,102,37.96,41.26
4199678,3809,6.50,16.00
5260548,809,5.00,19.00
6231408,4209,27.59,29.99
1987928,307,14.02,9.50
9354861,102,21.60,14.50
3521585,103,18.14,19.72
1523726,704,5.25,2.99
9414018,107,34.50,18.03
8541753,103,10.91,11.86
3879076,6402,63.20,82.50
1732050,103,1.78,5.00
8730358,103,14.00,8.75
6259712,5104,0.00,17.38
2573462,102,22.99,24.99
9218439,102,20.00,22.00
5253574,102,32.50,16.25
4879382,102,13.50,17.00
1592610,103,8.85,4.62
8236445,102,34.75,34.75
7589205,209,26.00,14.99
9238158,2009,27.00,60.00
4451600,304,14.86,16.16
4102694,209,12.17,13.22
590897,2707,31.02,17.00
1108689,2409,14.34,29.25
2628194,204,29.60,25.84
7208508,5002,7.82,8.50
3418096,2707,62.25,42.00
2118049,103,95.27,103.55
8269378,3704,13.87,39.00
8638003,203,27.61,30.01
6944045,102,16.36,10.00
3004466,3409,22.75,50.00
4622566,103,27.09,19.75
4318665,202,20.00,26.00
274455,209,70.00,120.00
5778544,1207,23.15,25.16
423622,102,29.75,14.87
5106018,103,10.50,24.99
8986440,2007,37.50,36.41
7759233,204,8.90,13.39
1937560,1003,14.30,8.00
1129550,2409,11.25,25.00
8949551,1104,13.50,36.00
2922103,209,28.50,78.00
6520892,103,6.90,19.00
4748058,203,29.00,46.12
7089256,8109,21.37,50.00
5246131,103,16.00,11.60
8380718,402,59.50,139.00
8031812,3504,2.68,2.92
5018088,7603,43.10,56.10
3099105,2203,13.18,38.00
7578744,309,8.80,14.00
3729175,7907,27.33,95.00
9120986,102,20.35,22.12
4970065,9503,17.02,49.00
5867616,603,32.89,35.75
9947777,102,31.16,39.00
7108506,1302,36.00,19.75
698281,102,13.50,19.00
7930199,102,45.08,49.00
6117927,103,59.80,65.00
6402109,103,17.63,11.87
579967,107,10.50,29.00
8678583,1509,12.38,13.75
9182223,1607,27.00,14.75
2662269,102,10.98,11.94
6652420,103,16.24,7.39
9297519,203,47.00,100.00
4809295,1204,22.53,24.49
1936153,504,212.00,107.00
9587268,309,16.00,8.50
2240054,2402,2.76,3.00
332205,102,14.45,15.70
1891148,103,7.50,25.00
1896715,307,20.00,13.75
5647689,504,328.00,447.50
2898428,209,62.50,31.25
6449663,7407,225.00,247.50
1688391,407,56.00,112.00
2788699,504,31.98,47.84
8666980,209,55.00,49.99
970860,707,10.59,6.99
5006016,102,20.75,37.35
5258283,107,12.17,13.22
1448152,402,40.50,44.50
7458430,202,15.33,18.25
9729337,1509,49.68,54.00
8899528,202,7.00,4.75
7579762,7103,18.40,20.00
3427699,203,9.00,3.64
6091110,704,10.82,13.26
516730,203,25.93,17.25
2838209,1709,13.00,14.00
2173799,103,39.75,19.88
606740,202,32.90,35.76
4079099,309,9.00,9.99
924324,107,27.28,29.65
5029771,204,5.00,10.00
9084646,3009,39.00,40.00
1903769,203,48.75,24.37
887904,203,36.00,39.50
9568567,302,4.50,7.49
9068414,103,44.75,44.75
1458817,2309,5.00,7.49
3909744,7603,77.28,84.00
4740022,504,12.33,36.00
6585,107,19.42,21.11
2308345,3302,227.50,695.00
6397091,203,17.94,11.00
5088459,107,26.50,65.00
1163032,503,6.31,6.85
3973999,303,14.00,9.75
2696689,303,1.58,0.93
2556107,504,108.00,59.75
3153713,103,22.08,14.00
