"STORE","CITY","STATE","ZIP","MSA","MSA_NAME","MSA_POP","CENSUS_REGION","LATITUDE","LONGITUDE","MSA_INCOME","MSA_HIGH","MSA_BACH"
907,"DENTON                                  ","TX  ","76205     ",2800,"DALLAS-FORT WORTH-ARLINGTON, TX                                                 ",6145037,"SOUTH                                                       ",33.16156,97.10376,37075,79.9,28.4
2502,"OCOEE                                   ","FL  ","34761     ",5960,"ORLANDO-KISSIMMEE, FL                                                           ",2032496,"SOUTH                                                       ",28.574628,81.52946,31112,82.8,24.8
8002,"BATON ROUGE                             ","LA  ","70815     ",760,"BATON ROUGE, LA                                                                 ",770037,"SOUTH                                                       ",30.45514,91.06358,29702,81.9,24.9
6903,"ELYRIA                                  ","OH  ","44035     ",1680,"CLEVELAND-ELYRIA-MENTOR, OH                                                     ",2096471,"MIDWEST                                                     ",41.369846,82.10874,35542,82.9,23.3
2607,"LAREDO                                  ","TX  ","78041     ",4080,"LAREDO, TX                                                                      ",233152,"SOUTH                                                       ",27.542244,99.49233,18770,53.0,13.9
1004,"MEMPHIS                                 ","TN  ","38117     ",4920,"MEMPHIS, TN-AR-MS                                                               ",1280533,"SOUTH                                                       ",35.112929,89.90389,33880,80.1,24.1
6904,"WILMINGTON                              ","NC  ","28403     ",9200,"WILMINGTON, NC                                                                  ",339511,"SOUTH                                                       ",34.221512,77.88452,28584,83.7,26.1
1104,"MEMPHIS                                 ","TN  ","38133     ",4920,"MEMPHIS, TN-AR-MS                                                               ",1280533,"SOUTH                                                       ",35.208709,89.80518,33880,80.1,24.1
4207,"WICHITA FALLS                           ","TX  ","76308     ",9080,"WICHITA FALLS, TX                                                               ",148148,"SOUTH                                                       ",33.859798,98.54064,30125,80.0,19.7
7604,"RICHMOND                                ","VA  ","23233     ",6760,"RICHMOND, VA                                                                    ",1212977,"SOUTH                                                       ",37.622465,77.61965,37169,82.6,29.2
3604,"ALEXANDRIA                              ","LA  ","71301     ",220,"ALEXANDRIA, LA                                                                  ",149837,"SOUTH                                                       ",31.294532,92.46015,29813,74.6,16.5
902,"LAKELAND                                ","FL  ","33809     ",3980,"LAKELAND, FL                                                                    ",574746,"SOUTH                                                       ",28.128494,81.95625,27938,74.8,14.9
4209,"LAS VEGAS                               ","NV  ","89107     ",4120,"LAS VEGAS-PARADISE, NV                                                          ",1836333,"WEST                                                        ",36.171219,115.21682,34890,79.4,17.2
502,"ST PETERSBURG                           ","FL  ","33710     ",8280,"TAMPA-ST. PETERSBURG-CLEARWATER, FL                                             ",2723949,"SOUTH                                                       ",27.788637,82.72244,33008,81.5,21.7
107,"HURST                                   ","TX  ","76053     ",2800,"DALLAS-FORT WORTH-ARLINGTON, TX                                                 ",6145037,"SOUTH                                                       ",32.821378,97.181,37075,79.9,28.4
5404,"DECATUR                                 ","AL  ","35601     ",2030,"DECATUR, AL                                                                     ",149279,"SOUTH                                                       ",34.595332,86.98786,28984,73.8,15.8
4303,"OMAHA                                   ","NE  ","68144     ",5920,"OMAHA-COUNCIL BLUFFS, NE-IA                                                     ",829890,"MIDWEST                                                     ",41.235248,96.11505,37373,86.0,28.7
8407,"LAKE JACKSON                            ","TX  ","77566     ",1145,"HOUSTON-SUGAR LAND-BAYTOWN, TX                                                  ",5628101,"SOUTH                                                       ",29.036879,95.44103,39052,76.4,26.5
7004,"NORFOLK                                 ","VA  ","23510     ",5720,"VIRGINIA BEACH-NEWPORT NEWS, VA-NC                                              ",1658754,"SOUTH                                                       ",36.852547,76.29028,33316,84.8,23.9
5102,"FT. LAUDERDALE                          ","FL  ","33304     ",2680,"MIAMI-FORT LAUDERDALE-POMPANO BEACH, FL                                         ",5413212,"SOUTH                                                       ",26.137693,80.12646,36293,73.9,22.9
1909,"SIERRA VISTA                            ","AZ  ","85635     ",0,"AZ NONMETROPOLITAN AREA                                                         ",41908,"WEST                                                        ",31.562546,110.24288,38427,91.5,25.7
5903,"RICHMOND                                ","IN  ","47374     ",0,"IN NONMETROPOLITAN AREA                                                         ",39124,"MIDWEST                                                     ",39.831061,84.89067,39124,74.6,13.8
5604,"HUNTSVILLE                              ","AL  ","35806     ",3440,"HUNTSVILLE, AL                                                                  ",386632,"SOUTH                                                       ",34.748066,86.68317,33119,83.3,30.9
4704,"HIGH POINT                              ","NC  ","27262     ",3120,"GREENSBORO-HIGH POINT, NC                                                       ",698497,"SOUTH                                                       ",35.964586,80.02239,30909,78.6,22.9
8803,"LEXINGTON                               ","KY  ","40504     ",4280,"LEXINGTON-FAYETTE, KY                                                           ",447173,"SOUTH                                                       ",38.039322,84.54259,33821,85.8,35.6
8507,"TEXAS CITY                              ","TX  ","77591     ",1145,"HOUSTON-SUGAR LAND-BAYTOWN, TX                                                  ",5628101,"SOUTH                                                       ",29.389583,94.99167,39052,76.4,26.5
8302,"KENNER                                  ","LA  ","70065     ",5560,"NEW ORLEANS-METAIRIE-KENNER, LA                                                 ",1030363,"SOUTH                                                       ",30.022853,90.25133,20722,77.7,22.6
3003,"WICHITA                                 ","KS  ","67207     ",9040,"WICHITA, KS                                                                     ",596452,"MIDWEST                                                     ",37.669803,97.23289,33368,83.8,25.3
2204,"GOODLETTSVILLE                          ","TN  ","37072     ",5360,"NASHVILLE-MURFREESBORO-FRANKLIN, TN                                             ",1521437,"SOUTH                                                       ",36.35465,86.71879,36445,81.4,26.9
1707,"DALLAS                                  ","TX  ","75237     ",1920,"DALLAS-FORT WORTH-ARLINGTON, TX                                                 ",6145037,"SOUTH                                                       ",32.666984,96.87633,37075,79.9,28.4
6304,"MYRTLE BEACH                            ","SC  ","29577     ",5330,"MYRTLE BEACH-NORTH MYRTLE BEACH, SC                                             ",249925,"SOUTH                                                       ",33.698101,78.89604,26686,81.1,18.7
7203,"AKRON                                   ","OH  ","44322     ",80,"AKRON, OH                                                                       ",699356,"MIDWEST                                                     ",41.043496,81.58536,33709,85.7,24.3
3704,"TEXARKANA                               ","TX  ","75503     ",8360,"TEXARKANA, TX-TEXARKANA, AR                                                     ",134215,"SOUTH                                                       ",33.476844,94.09637,26687,77.3,16.1
