"STORE","CITY","STATE","ZIP"
9209,"PUEBLO                                  ","CO  ","81008     "
409,"PHOENIX                                 ","AZ  ","85032     "
2907,"BROWNSVILLE                             ","TX  ","78526     "
2303,"INDEPENDENCE                            ","MO  ","64057     "
4103,"OMAHA                                   ","NE  ","68114     "
9906,"LITTLE ROCK                             ","AR  ","72201     "
5603,"CINCINNATI                              ","OH  ","45245     "
709,"GLENDALE                                ","AZ  ","85308     "
8808,"LITTLE ROCK                             ","AR  ","72201     "
1607,"DALLAS                                  ","TX  ","75225     "
269,"RALEIGH                                 ","NC  ","27615     "
1304,"FORT SMITH                              ","AR  ","72903     "
304,"FAYETTEVILLE                            ","AR  ","72703     "
1103,"JEFFERSON CITY                          ","MO  ","65109     "
203,"CHESTERFIELD                            ","MO  ","63017     "
8707,"PORT ARTHUR                             ","TX  ","77642     "
1100,"BATON ROUGE                             ","LA  ","70801     "
3609,"IDAHO FALLS                             ","ID  ","83404     "
2009,"ALBUQUERQUE                             ","NM  ","87114     "
6302,"LITHONIA                                ","GA  ","30038     "
1407,"ARLINGTON                               ","TX  ","76015     "
2500,"JEFFERSONTOWN                           ","KY  ","40299     "
9503,"CLARKSVILLE                             ","IN  ","47129     "
1203,"COLUMBIA                                ","MO  ","65203     "
7700,"FT. WORTH                               ","TX  ","76137     "
7107,"HOUSTON                                 ","TX  ","77070     "
9303,"LOUISVILLE                              ","KY  ","40216     "
7707,"SUGAR LAND                              ","TX  ","77479     "
4502,"TALLAHASSEE                             ","FL  ","32303     "
3707,"VICTORIA                                ","TX  ","77904     "
2809,"ST GEORGE                               ","UT  ","84790     "
5304,"FLORENCE                                ","AL  ","35630     "
6700,"FORT WORTH                              ","TX  ","76137     "
3307,"AUSTIN                                  ","TX  ","78746     "
9604,"MIDWEST CITY                            ","OK  ","73110     "
303,"ST. ANN                                 ","MO  ","63074     "
9504,"NORMAN                                  ","OK  ","73072     "
3502,"DAYTONA BEACH                           ","FL  ","32114     "
904,"COLLIERVILLE                            ","TN  ","38017     "
7303,"CANTON                                  ","OH  ","44718     "
2504,"FRANKLIN                                ","TN  ","37067     "
807,"RICHARDSON                              ","TX  ","75081     "
7602,"ALBANY                                  ","GA  ","31707     "
1509,"TUCSON                                  ","AZ  ","85705     "
5803,"FRANKLIN                                ","OH  ","45005     "
7703,"TOLEDO                                  ","OH  ","43614     "
8709,"BROOMFIELD                              ","CO  ","80021     "
7813,"TOLEDO                                  ","OH  ","43612     "
2102,"ORLANDO                                 ","FL  ","32809     "
3500,"JEFFERSONTOWN                           ","KY  ","40299     "
2502,"OCOEE                                   ","FL  ","34761     "
8002,"BATON ROUGE                             ","LA  ","70815     "
6903,"ELYRIA                                  ","OH  ","44035     "
